,DATETIME,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,E,I,D,H,Avg,Std,Avg_w,Std_w
0,2019-01-01 01:00:00,"9,783.59","1,264.19","3,164.72",827.76,"11,697.77","3,066.89","5,993.97","1,282.54",37081.44,2,1,0,0.0,0.0,0.0,0.0
1,2019-01-01 02:00:00,"9,726.06","1,270.49","3,178.95",830.26,"11,787.94","3,140.38","6,029.77","1,295.13",37258.99,4,1,0,0.0,0.0,37170.215,88.77499999999782
2,2019-01-01 03:00:00,"9,654.37","1,269.50","3,200.88",831.51,"11,861.63","3,137.72","6,043.35","1,301.23",37300.19,6,1,0,0.0,0.0,37279.59,20.600000000002183
3,2019-01-01 04:00:00,"9,631.74","1,243.17","3,221.96",839.69,"11,989.11","3,105.50","6,086.41","1,305.98",37423.54,8,1,0,0.0,0.0,37361.865000000005,61.67499999999927
4,2019-01-01 05:00:00,"9,698.89","1,309.57","3,240.63",848.67,"12,219.11","3,078.26","6,180.94","1,319.14",37895.21,10,1,0,0.0,0.0,37659.375,235.83499999999913
5,2019-01-01 06:00:00,"9,850.79","1,364.25","3,259.30",874.46,"12,631.94","3,096.46","6,394.97","1,352.92",38825.09,12,1,0,0.0,0.0,38360.149999999994,464.9399999999987
6,2019-01-01 07:00:00,"10,053.12","1,414.87","3,282.58",907.06,"13,073.65","3,130.35","6,662.74","1,386.28",39910.66,14,1,0,0.0,0.0,39367.875,542.7850000000035
7,2019-01-01 08:00:00,"10,088.53","1,407.53","3,291.42",930.81,"13,427.37","3,096.18","6,775.91","1,418.82",40436.56,16,1,0,0.0,0.0,40173.61,262.9499999999971
8,2019-01-01 09:00:00,"10,001.45","1,438.71","3,303.18",954.01,"13,834.75","3,082.60","6,874.32","1,461.14",40950.16,18,1,0,0.0,0.0,40693.36,256.8000000000029
9,2019-01-01 10:00:00,"9,947.81","1,438.88","3,346.02",980.07,"14,452.58","3,084.49","7,023.88","1,489.75",41763.47,20,1,0,0.0,0.0,41356.815,406.65499999999884
10,2019-01-01 11:00:00,"9,953.01","1,411.74","3,371.66",992.92,"14,934.42","3,061.29","7,030.86","1,494.03",42249.94,22,1,0,0.0,0.0,42006.705,243.23500000000058
11,2019-01-01 12:00:00,"9,905.20","1,369.21","3,371.56",993.25,"15,208.94","3,044.23","6,907.52","1,496.77",42296.68,24,1,0,0.0,0.0,42273.31,23.36999999999898
12,2019-01-01 13:00:00,"9,760.65","1,319.39","3,386.18",978.51,"15,171.92","3,008.08","6,768.36","1,486.09",41879.18,26,1,0,0.0,0.0,42087.93,208.75
13,2019-01-01 14:00:00,"9,639.94","1,258.41","3,391.14",967.56,"14,971.35","2,957.98","6,721.81","1,468.12",41376.31,28,1,0,0.0,0.0,41627.744999999995,251.4350000000013
14,2019-01-01 15:00:00,"9,520.58","1,254.02","3,370.74",960.32,"14,719.89","2,925.67","6,787.92","1,452.21",40991.35,30,1,0,0.0,0.0,41183.83,192.47999999999956
15,2019-01-01 16:00:00,"9,503.75","1,233.61","3,359.43",963.57,"14,659.66","2,916.31","6,912.71","1,466.85",41015.89,32,1,0,0.0,0.0,41003.619999999995,12.270000000000437
16,2019-01-01 17:00:00,"9,618.59","1,284.28","3,365.12",980.23,"15,006.43","2,954.29","7,145.43","1,487.81",41842.18,34,1,0,0.0,0.0,41429.035,413.14500000000044
17,2019-01-01 18:00:00,"10,143.49","1,353.61","3,405.09","1,036.23","15,909.35","3,089.90","7,586.90","1,534.17",44058.74,36,1,0,0.0,0.0,42950.46,1108.2799999999988
18,2019-01-01 19:00:00,"10,372.18","1,447.56","3,454.41","1,060.54","16,367.46","3,254.02","7,865.29","1,579.17",45400.62,38,1,0,0.0,0.0,44729.68,670.9400000000023
19,2019-01-01 20:00:00,"10,309.19","1,415.78","3,475.77","1,054.58","16,295.13","3,277.81","7,836.90","1,580.88",45246.04,40,1,0,0.0,0.0,45323.33,77.29000000000087
20,2019-01-01 21:00:00,"10,168.58","1,426.40","3,464.32","1,049.37","16,186.61","3,268.51","7,709.59","1,570.92",44844.31,42,1,0,0.0,0.0,45045.175,200.8650000000016
21,2019-01-01 22:00:00,"9,952.24","1,382.89","3,441.43","1,030.56","15,779.65","3,236.46","7,532.94","1,545.61",43901.78,44,1,0,0.0,0.0,44373.045,471.2649999999994
22,2019-01-01 23:00:00,"9,587.76","1,353.96","3,398.60",992.66,"15,093.00","3,135.01","7,153.15","1,492.45",42206.6,46,1,0,0.0,0.0,43054.19,847.5900000000001
23,2019-01-01 00:00:00,"9,170.21","1,277.55","3,361.04",965.20,"14,422.31","3,000.41","6,849.03","1,449.08",40494.84,0,1,0,0.0,0.0,41350.72,855.880000000001
24,2019-01-02 01:00:00,"8,889.36","1,184.11","3,324.88",938.64,"14,014.61","2,940.09","6,573.77","1,381.27",39246.74,2,2,0,0.0,0.0,39870.78999999999,624.0499999999993
25,2019-01-02 02:00:00,"8,661.62","1,164.74","3,318.67",926.05,"13,809.74","2,869.63","6,459.94","1,367.58",38577.96,4,2,0,0.0,0.0,38912.35,334.3899999999994
26,2019-01-02 03:00:00,"8,565.02","1,162.65","3,306.43",918.48,"13,787.78","2,857.40","6,470.46","1,365.91",38434.14,6,2,0,0.0,0.0,38506.05,71.90999999999985
27,2019-01-02 04:00:00,"8,624.58","1,178.84","3,325.50",925.79,"13,959.93","2,889.29","6,549.62","1,377.43",38830.98,8,2,0,0.0,0.0,38632.56,198.4200000000019
28,2019-01-02 05:00:00,"8,904.37","1,231.53","3,357.09",944.33,"14,449.91","2,981.98","6,803.05","1,399.82",40072.09,10,2,0,0.0,0.0,39451.535,620.5549999999967
29,2019-01-02 06:00:00,"9,460.87","1,317.15","3,392.22",989.21,"15,426.51","3,174.25","7,276.34","1,449.24",42485.8,12,2,0,0.0,0.0,41278.945,1206.8550000000032
30,2019-01-02 07:00:00,"10,145.87","1,416.94","3,422.65","1,040.53","16,532.66","3,426.48","7,798.06","1,516.54",45299.72,14,2,0,0.0,0.0,43892.76,1406.9599999999991
31,2019-01-02 08:00:00,"10,719.56","1,509.71","3,482.55","1,082.01","17,300.13","3,618.55","8,122.80","1,585.32",47420.62,16,2,0,0.0,0.0,46360.17,1060.4500000000007
32,2019-01-02 09:00:00,"11,011.67","1,566.73","3,512.52","1,102.65","17,722.31","3,736.94","8,262.73","1,632.34",48547.91,18,2,0,0.0,0.0,47984.265,563.6450000000004
33,2019-01-02 10:00:00,"11,344.97","1,592.50","3,535.34","1,121.42","18,144.82","3,878.72","8,408.56","1,652.86",49679.19,20,2,0,0.0,0.0,49113.55,565.6399999999994
34,2019-01-02 11:00:00,"11,670.70","1,620.25","3,550.36","1,135.35","18,453.15","3,993.23","8,597.97","1,661.58",50682.59,22,2,0,0.0,0.0,50180.89,501.6999999999971
35,2019-01-02 12:00:00,"11,869.99","1,671.60","3,544.54","1,135.49","18,610.03","4,049.94","8,700.66","1,674.26",51256.52,24,2,0,0.0,0.0,50969.55499999999,286.96500000000015
36,2019-01-02 13:00:00,"11,921.45","1,634.91","3,554.85","1,125.79","18,660.12","4,115.29","8,737.77","1,664.13",51414.31,26,2,0,0.0,0.0,51335.41499999999,78.89500000000044
37,2019-01-02 14:00:00,"11,990.49","1,628.05","3,539.89","1,130.91","18,594.30","4,139.24","8,774.26","1,658.07",51455.22,28,2,0,0.0,0.0,51434.765,20.455000000001746
38,2019-01-02 15:00:00,"11,891.91","1,666.70","3,508.77","1,125.77","18,461.26","4,158.59","8,796.56","1,653.88",51263.44,30,2,0,0.0,0.0,51359.33,95.88999999999942
39,2019-01-02 16:00:00,"11,866.58","1,708.09","3,488.68","1,130.56","18,357.93","4,189.34","8,802.21","1,605.80",51149.18,32,2,0,0.0,0.0,51206.31,57.13000000000102
40,2019-01-02 17:00:00,"11,920.25","1,713.23","3,475.90","1,131.80","18,447.06","4,240.85","8,849.01","1,603.40",51381.51,34,2,0,0.0,0.0,51265.345,116.16500000000087
41,2019-01-02 18:00:00,"12,191.09","1,751.15","3,489.32","1,144.92","19,033.91","4,365.86","9,089.26","1,652.05",52717.56,36,2,0,0.0,0.0,52049.535,668.0249999999978
42,2019-01-02 19:00:00,"12,231.21","1,776.05","3,530.74","1,148.59","19,166.89","4,524.19","9,198.11","1,701.35",53277.13,38,2,0,0.0,0.0,52997.345,279.78499999999985
43,2019-01-02 20:00:00,"12,051.04","1,714.30","3,535.02","1,130.15","18,671.24","4,502.35","9,012.41","1,692.70",52309.22,40,2,0,0.0,0.0,52793.175,483.9549999999981
44,2019-01-02 21:00:00,"11,792.79","1,616.52","3,522.81","1,108.08","18,096.98","4,441.90","8,796.11","1,668.67",51043.85,42,2,0,0.0,0.0,51676.535,632.6850000000013
45,2019-01-02 22:00:00,"11,304.97","1,615.33","3,471.55","1,065.61","17,345.28","4,303.84","8,462.68","1,624.77",49194.03,44,2,0,0.0,0.0,50118.94,924.9099999999999
46,2019-01-02 23:00:00,"10,744.83","1,519.09","3,433.47","1,020.80","16,244.53","4,091.07","8,016.52","1,557.85",46628.17,46,2,0,0.0,0.0,47911.1,1282.9300000000003
47,2019-01-02 00:00:00,"10,113.38","1,441.31","3,398.57",978.10,"15,384.92","3,855.40","7,608.08","1,507.68",44287.43,0,2,0,0.0,0.0,45457.8,1170.369999999999
48,2019-01-03 01:00:00,"9,450.69","1,366.52","3,274.51",952.18,"15,000.55","3,625.73","7,280.71","1,519.68",42470.57,2,3,0,0.0,0.0,43379.0,908.4300000000003
49,2019-01-03 02:00:00,"9,135.34","1,307.14","3,254.20",935.26,"14,672.14","3,517.88","7,124.01","1,499.53",41445.49,4,3,0,0.0,0.0,41958.03,512.5400000000009
50,2019-01-03 03:00:00,"8,975.36","1,323.31","3,235.83",934.34,"14,548.26","3,472.00","7,081.08","1,491.73",41061.89,6,3,0,0.0,0.0,41253.69,191.79999999999927
51,2019-01-03 04:00:00,"8,939.24","1,311.64","3,239.97",937.10,"14,537.78","3,462.03","7,105.53","1,486.59",41019.87,8,3,0,0.0,0.0,41040.880000000005,21.0099999999984
52,2019-01-03 05:00:00,"9,142.80","1,351.48","3,276.33",953.25,"14,927.88","3,552.28","7,289.48","1,505.75",41999.26,10,3,0,0.0,0.0,41509.565,489.6949999999997
53,2019-01-03 06:00:00,"9,627.39","1,407.05","3,311.92",980.57,"15,687.06","3,753.24","7,704.10","1,553.54",44024.87,12,3,0,0.0,0.0,43012.065,1012.8050000000003
54,2019-01-03 07:00:00,"10,282.26","1,519.66","3,350.99","1,017.68","16,555.53","4,013.10","8,207.39","1,625.81",46572.41,14,3,0,0.0,0.0,45298.64,1273.7700000000004
55,2019-01-03 08:00:00,"10,818.68","1,602.24","3,403.31","1,044.09","17,067.75","4,158.76","8,496.54","1,664.47",48255.85,16,3,0,0.0,0.0,47414.130000000005,841.7199999999975
56,2019-01-03 09:00:00,"11,200.70","1,631.35","3,392.05","1,049.59","17,058.89","4,205.15","8,493.94","1,653.16",48684.83,18,3,0,0.0,0.0,48470.34,214.49000000000157
57,2019-01-03 10:00:00,"11,605.75","1,639.62","3,353.36","1,057.47","17,146.75","4,198.29","8,272.73","1,622.66",48896.63,20,3,0,0.0,0.0,48790.729999999996,105.89999999999783
58,2019-01-03 11:00:00,"12,008.42","1,663.51","3,317.14","1,063.62","17,234.58","4,163.94","8,000.33","1,574.50",49026.03,22,3,0,0.0,0.0,48961.33,64.70000000000073
